address,city,country,keys,latitude,longitude,name,postalcode,province
1650 S Main St,Laurinburg,US,us/nc/laurinburg/1650smainst/-791445730,34.754263,-79.477012,WENDYS,28352,NC
919 Gordon Dr,Sioux City,US,us/ia/siouxcity/919gordondr/93075755,42.490124,-96.398269,ARBYS,51102,IA
150 Balsam St N,Cambridge,US,us/mn/cambridge/150balsamstn/-791445730,45.573171,-93.198564,WENDYS,55008,MN
995 N Main St,Bluffton,US,us/in/bluffton/995nmainst/93075755,40.756725,-85.165264,ARBYS,46714,IN
1101 N Main St,Roswell,US,us/nm/roswell/1101nmainst/-791445730,33.405,-104.5225,WENDYS,88201,NM
1040 Main St,Altavista,US,us/va/altavista/1040mainst/106088,37.11584176,-79.28009033,KFC,24517,VA
695 Commonwealth Dr,Norton,US,us/va/norton/695commonwealthdr/1780593795,36.95838,-82.60482,SONIC DRIVE-IN,24273,VA
1923 Highway 82 E,Greenville,US,us/ms/greenville/1923highway82e/106088,33.39936,-91.02796,KFC,38703,MS
1205 N Lee Hwy,Lexington,US,us/va/lexington/1205nleehwy/-2061630068,37.80414,-79.40907,BURGER KING,24450,VA
62 Granite St,Quincy,US,us/ma/quincy/62granitest/-2061630068,42.247904,-71.004319,BURGER KING,2169,MA
2108 Bruton Blvd,Orlando,US,us/fl/orlando/2108brutonblvd/-1055723171,28.5182,-81.4262,DOMINOS PIZZA,32805,FL
1025 N Hills Blvd,Reno,US,us/nv/reno/1025nhillsblvd/-2061630068,39.60483,-119.83671,BURGER KING,89506,NV
73 Main St,Placerville,US,us/ca/placerville/73mainst/106088,38.7279,-120.8079,KFC,95667,CA
1003 W Main St,Cabot,US,us/ar/cabot/1003wmainst/106088,34.97604076,-92.02658479,KFC,72023,AR
115 N Dixon Rd,Kokomo,US,us/in/kokomo/115ndixonrd/-891525969,40.48868,-86.1656,SUBWAY,46901,IN
906 State Rd 28,Milford,US,us/oh/milford/906staterd28/93075755,39.191253,-84.254849,ARBYS,45150,OH
21 S 3rd St,Newark,US,us/oh/newark/21s3rdst/-1161002137,40.057139,-82.402302,MCDONALDS,43055,OH
1331 Center Rd,Avon,US,us/oh/avon/1331centerrd/93075755,41.470374,-82.019034,ARBYS,44011,OH
5 Sonja Dr,Rindge,US,us/nh/rindge/5sonjadr/-864103396,42.74295,-72.03664,TACO BELL,3461,NH
540 Beall Ave,Wooster,US,us/oh/wooster/540beallave/-1161002137,40.804127,-81.934325,MCDONALDS,44691,OH
1204 State Route 23,Butler,US,us/nj/butler/1204stateroute23/-791445730,40.99072267,-74.33721336,WENDYS,7405,NJ
6585 Grand Ave,Gurnee,US,us/il/gurnee/6585grandave/-791445730,42.385357,-87.965696,WENDYS,60031,IL
2105 10th Ave,Haleyville,US,us/al/haleyville/210510thave/106088,34.2279,-87.6223,KFC,35565,AL
3601 Gateway Blvd W,El Paso,US,us/tx/elpaso/3601gatewayblvdw/106088,31.7789,-106.4505,KFC,79903,TX
1380 W Elliot Rd,Tempe,US,us/az/tempe/1380welliotrd/-891525969,33.351078,-111.961205,SUBWAY,85284,AZ
7901 Melton Rd,Gary,US,us/in/gary/7901meltonrd/-2061630068,41.5953,-87.2453,BURGER KING,46403,IN
778 S Weber Rd,Romeoville,US,us/il/romeoville/778sweberrd/-1161002137,41.59720113,-88.12360712,MCDONALDS,60446,IL
1 Court St,Machias,US,us/me/machias/1courtst/-891525969,44.71863,-67.45225,SUBWAY,4654,ME
302 N 168th Cir,Omaha,US,us/ne/omaha/302n168thcir/-891525969,41.260788,-96.17703,SUBWAY,68118,NE
1921 Main St,Winfield,US,us/ks/winfield/1921mainst/1780593795,37.22927,-96.9974,SONIC DRIVE-IN,67156,KS
5812 NW Expressway,Oklahoma City,US,us/ok/oklahomacity/5812nwexpressway/-1161002137,35.54815,-97.61717,MCDONALDS,73132,OK
101 Thomas Garst Ln,Leland,US,us/nc/leland/101thomasgarstln/-864103396,34.23389,-77.99544,TACO BELL,28451,NC
1111 New Pointe Blvd,Leland,US,us/nc/leland/1111newpointeblvd/-1161002137,34.21188,-78.02454,MCDONALDS,28451,NC
108 Village Rd NE,Leland,US,us/nc/leland/108villagerdne/-1161002137,34.234477,-78.000649,MCDONALDS,28451,NC
1116 Old Highway 60,Hardinsburg,US,us/ky/hardinsburg/1116oldhighway60/-1161002137,37.792641,-86.492762,MCDONALDS,40143,KY
1423 Southwest Pkwy,Wichita Falls,US,us/tx/wichitafalls/1423southwestpkwy/-1161002137,33.85371,-98.50065,MCDONALDS,76302,TX
908 Padre Blvd,South Padre Island,US,us/tx/southpadreisland/908padreblvd/-1161002137,26.09105,-97.1643,MCDONALDS,78597,TX
1131n N Main St,Miami,US,us/ok/miami/1131nnmainst/-1161002137,36.88826,-94.87766,MCDONALDS,74354,OK
3401 Hwy 165 North,Pineville,US,us/la/pineville/3401hwy165north/-66712705,31.3626,-92.41343,PIZZA HUT,71360,LA
1631 E Madison Ave,Bastrop,US,us/la/bastrop/1631emadisonave/1780593795,32.77992,-91.89477,SONIC DRIVE-IN,71220,LA
301 S Lynn Riggs Blvd,Claremore,US,us/ok/claremore/301slynnriggsblvd/-1055723171,36.31069,-95.61759,DOMINOS PIZZA,74017,OK
601 E Lincolnway,Minerva,US,us/oh/minerva/601elincolnway/-1161002137,40.732,-81.09812,MCDONALDS,44657,OH
3211 S 4th St,Leavenworth,US,us/ks/leavenworth/3211s4thst/1780593795,39.28532,-94.90441,SONIC DRIVE-IN,66048,KS
105 Business Loop W,Jamestown,US,us/nd/jamestown/105businessloopw/-864103396,46.898997,-98.707788,TACO BELL,58401,ND
1531 University Dr S,Fargo,US,us/nd/fargo/1531universitydrs/-1055723171,46.85659,-96.79863,DOMINOS PIZZA,58103,ND
718 10th St SE,Jamestown,US,us/nd/jamestown/71810thstse/-1009719089,46.89896,-98.6984,TACO JOHNS,58401,ND
1400 24th Ave SW,Minot,US,us/nd/minot/140024thavesw/-1161002137,48.20858,-101.3128,MCDONALDS,58701,ND
703 S Magnolia St,Woodville,US,us/tx/woodville/703smagnoliast/1832448210,30.76846,-94.41477,WHATABURGER,75979,TX
1535 S Broadway,Minot,US,us/nd/minot/1535sbroadway/-66712705,48.219459,-101.296022,PIZZA HUT,58701,ND
775 S Main St,Smithfield,US,us/ut/smithfield/775smainst/-1055723171,41.82069,-111.83318,DOMINOS PIZZA,84335,UT
3208 S Elm Pl,Broken Arrow,US,us/ok/brokenarrow/3208selmpl/1780593795,36.01948,-95.79756,SONIC DRIVE-IN,74012,OK
3056 Classen Blvd Unit A,Norman,US,us/ok/norman/3056classenblvdunita/-1055723171,35.18173,-97.41709,DOMINOS PIZZA,73071,OK
982 Macon St,Warner Robins,US,us/ga/warnerrobins/982maconst/-2061630068,32.59495,-83.58338,BURGER KING,31098,GA
6060 San Mateo Blvd NE,Albuquerque,US,us/nm/albuquerque/6060sanmateoblvdne/-2061630068,35.144456,-106.585927,BURGER KING,87109,NM
8401 Gateway Blvd W Ste M4,El Paso,US,us/tx/elpaso/8401gatewayblvdwstem4/-1161002137,31.77465,-106.38071,MCDONALDS,79925,TX
450 N Harrison Ave,Shawnee,US,us/ok/shawnee/450nharrisonave/1780593795,35.33252,-96.91222,SONIC DRIVE-IN,74801,OK
9455 SW Barbur Blvd,Portland,US,us/or/portland/9455swbarburblvd/-863563290,45.457027,-122.713696,TACO TIME,97219,OR
351 River Hill Dr,Ashland,US,us/ky/ashland/351riverhilldr/-1161002137,38.48554,-82.658096,MCDONALDS,41101,KY
18000 Bagley Rd,Cleveland,US,us/oh/cleveland/18000bagleyrd/-2061630068,41.373042,-81.826072,BURGER KING,44130,OH
3700 N 1st Ave,Evansville,US,us/in/evansville/3700n1stave/-1161002137,38.01322,-87.57549,MCDONALDS,47710,IN
895 N Highway 77 Ste 300,Waxahachie,US,us/tx/waxahachie/895nhighway77ste300/-1947870258,32.41269,-96.84213,JIMMY JOHNS,75165,TX
819 SW 19th St,Oklahoma City,US,us/ok/oklahomacity/819sw19thst/-1055723171,35.32026,-97.50536,DOMINOS PIZZA,73160,OK
1625 Veterans Pkwy,Jeffersonville,US,us/in/jeffersonville/1625veteranspkwy/-624847056,38.32967,-85.74938,POPEYES CHICKEN,47130,IN
5680 Commercial St SE Ste 100,Salem,US,us/or/salem/5680commercialstseste100/-1055723171,44.87205,-123.02243,DOMINOS PIZZA,97306,OR
2870 W Loop 1604 S,San Antonio,US,us/tx/sanantonio/2870wloop1604s/1832448210,29.4033,-98.70619,WHATABURGER,78245,TX
100 Northside Dr,Bennington,US,us/vt/bennington/100northsidedr/-864103396,42.89413,-73.20316,TACO BELL,5201,VT
6611 S Mo Pac Expy Ste B,Austin,US,us/tx/austin/6611smopacexpysteb/1832448210,30.22023,-97.83528,WHATABURGER,78749,TX
9300 S Interstate 35 Bldg H,Austin,US,us/tx/austin/9300sinterstate35bldgh/1832448210,30.16525,-97.78887,WHATABURGER,78748,TX
324 Main St,Massena,US,us/ny/massena/324mainst/-1161002137,44.9213,-74.89021,MCDONALDS,13662,NY
530 Clinton Ave,Washington Court House,US,us/oh/washingtoncourthouse/530clintonave/-791445730,39.53255,-83.44526,WENDYS,43160,OH
6098 State Highway 37,Massena,US,us/ny/massena/6098statehighway37/-1161002137,44.95008,-74.84553,MCDONALDS,13662,NY
4182 Tonya Trl,Hamilton,US,us/oh/hamilton/4182tonyatrl/-1055723171,39.4176,-84.47641,DOMINOS PIZZA,45011,OH
590 S Main St,Englewood,US,us/oh/englewood/590smainst/-1055723171,39.86969,-84.29358,DOMINOS PIZZA,45322,OH
401 N Jennings St,Saluda,US,us/sc/saluda/401njenningsst/-1161002137,34.00598,-81.7704,MCDONALDS,29138,SC
205 W Church St,Batesburg,US,us/sc/batesburg/205wchurchst/-791445730,33.91335,-81.5333,WENDYS,29006,SC
2711 W. Kings Highway Ste. 18,Paragould,US,us/ar/paragould/2711wkingshighwayste18/-66712705,36.06107,-90.52325,PIZZA HUT,72450,AR
613 W Center St,Sheridan,US,us/ar/sheridan/613wcenterst/1780593795,34.30687,-92.40784,SONIC DRIVE-IN,72150,AR
512 Highway 425 S Lot B,Monticello,US,us/ar/monticello/512highway425slotb/-1055723171,33.61937,-91.80232,DOMINOS PIZZA,71655,AR
1535 NW 50th St,Oklahoma City,US,us/ok/oklahomacity/1535nw50thst/-1161002137,35.52234,-97.5382,MCDONALDS,73118,OK
125 Towne Center Dr,Lexington,US,us/ky/lexington/125townecenterdr/-1055723171,38.06753,-84.53043,DOMINOS PIZZA,40511,KY
66 14th St.,Tell City,US,us/in/tellcity/6614thst/1516016543,37.941032,-86.762115,LONG JOHN SILVERS,47586,IN
704 S Main St,Salem,US,us/mo/salem/704smainst/106088,37.6381,-91.535,KFC,65560,MO
1604 N State St,Greenfield,US,us/in/greenfield/1604nstatest/106088,39.80704,-85.77044,KFC,46140,IN
1801 7 Ave SW,Jamestown,US,us/nd/jamestown/18017avesw/93075755,46.89,-98.7178,ARBYS,58401,ND
321 Loudon Rd,Concord,US,us/nh/concord/321loudonrd/-864103396,43.22897,-71.48333,TACO BELL,3301,NH
502 N 7th Ave,Scranton,US,us/pa/scranton/502n7thave/93075755,41.4145,-75.67049,ARBYS,18503,PA
1841 N Bluff St,Fulton,US,us/mo/fulton/1841nbluffst/-791445730,38.864979,-91.94387,WENDYS,65251,MO
36 Lynn Ave,Oxford,US,us/oh/oxford/36lynnave/-864103396,39.50948,-84.75129,TACO BELL,45056,OH
4351 Highway K,O Fallon,US,us/mo/ofallon/4351highwayk/1121518186,38.72271,-90.699453,CULVERS,63368,MO
105 12th St N,Wahpeton,US,us/nd/wahpeton/10512thstn/-1161002137,46.263498,-96.617569,MCDONALDS,58075,ND
41 W 141 Saint,Glenpool,US,us/ok/glenpool/41w141saint/93075755,35.95950214,-96.00887224,ARBYS,74033,OK
3383 S Linden Rd,Flint,US,us/mi/flint/3383slindenrd/-864103396,42.977599,-83.771468,TACO BELL,48507,MI
1524 Sams Cir,Chesapeake,US,us/va/chesapeake/1524samscir/-791445730,36.768824,-76.249521,WENDYS,23320,VA
315 N Stephenson Ave,Iron Mountain,US,us/mi/ironmountain/315nstephensonave/696490760,45.825755,-88.063121,HARDEES,49801,MI
2439 Springs Rd NE,Hickory,US,us/nc/hickory/2439springsrdne/-1161002137,35.75332,-81.28572,MCDONALDS,28601,NC
9651 Natural Bridge Rd,Saint Louis,US,us/mo/saintlouis/9651naturalbridgerd/-938337463,38.72914,-90.34394,RALLYS,63134,MO
1665 Dove Park Rd Ste 300,Mandeville,US,us/la/mandeville/1665doveparkrdste300/659024989,30.41178,-90.04186,QUIZNOS,70471,LA
225 Grant Ave,Auburn,US,us/ny/auburn/225grantave/-2061630068,42.94987,-76.54722,BURGER KING,13021,NY
5400 FM 1640 Rd Ste 500,Richmond,US,us/tx/richmond/5400fm1640rdste500/1832448210,29.55941,-95.76008,WHATABURGER,77469,TX
2448 University Ave,Green Bay,US,us/wi/greenbay/2448universityave/-1055723171,44.51312,-87.96051,DOMINOS PIZZA,54302,WI
111 Commons Dr,Maumelle,US,us/ar/maumelle/111commonsdr/1780593795,34.84808,-92.40624,SONIC DRIVE-IN,72113,AR
344 S Service Rd E,Sullivan,US,us/mo/sullivan/344sservicerde/-864103396,38.22303,-91.15696,TACO BELL,63080,MO
6490 Memphis Arlington Rd Ste 103,Memphis,US,us/tn/memphis/6490memphisarlingtonrdste103/-1055723171,35.22655,-89.84786,DOMINOS PIZZA,38135,TN
2124 S 1st St,Yakima,US,us/wa/yakima/2124s1stst/-864103396,46.57144,-120.48825,TACO BELL,98903,WA
482 Branson Landing Blvd Ste 105,Branson,US,us/mo/branson/482bransonlandingblvdste105/-1947870258,36.65075,-93.22026,JIMMY JOHNS,65616,MO
406 S Thompson St,Springdale,US,us/ar/springdale/406sthompsonst/-864103396,36.182436,-94.138658,TACO BELL,72764,AR
5094 Murfreesboro Rd Ste 1,La Vergne,US,us/tn/lavergne/5094murfreesborordste1/-1055723171,36.02074,-86.5812,DOMINOS PIZZA,37086,TN
801 S Vaughn Dr,Brusly,US,us/la/brusly/801svaughndr/-1161002137,30.387691,-91.25265,MCDONALDS,70719,LA
5100 NC Highway 87 S Ste 102,Fayetteville,US,us/nc/fayetteville/5100nchighway87sste102/-1055723171,34.9297,-78.85668,DOMINOS PIZZA,28306,NC
Co-Op City,Bronx,US,us/ny/bronx/opcity/-2061630068,40.8691,-73.8248,BURGER KING,10475,NY
3898 Cleveland Hwy,Dalton,US,us/ga/dalton/3898clevelandhwy/-1161002137,34.89383,-84.94654,MCDONALDS,30721,GA
1865 Blankenship Rd,West Linn,US,us/or/westlinn/1865blankenshiprd/-230519289,45.349698,-122.653281,JACK IN THE BOX,97068,OR
825 W 1100 S,Brigham City,US,us/ut/brighamcity/825w1100s/1780593795,41.48602,-112.02944,SONIC DRIVE-IN,84302,UT
955 S Main St,Brigham City,US,us/ut/brighamcity/955smainst/-864103396,41.49113,-112.01555,TACO BELL,84302,UT
875 W 1150 S,Brigham City,US,us/ut/brighamcity/875w1150s/-891525969,41.48561,-112.02934,SUBWAY,84302,UT
524 Indian Boundary Rd,Chesterton,US,us/in/chesterton/524indianboundaryrd/-1947870258,41.6165,-87.0439,JIMMY JOHNS,46304,IN
801 University St,Martin,US,us/tn/martin/801universityst/-1161002137,36.3485,-88.87344,MCDONALDS,38237,TN
2505 State Rd,La Crosse,US,us/wi/lacrosse/2505staterd/696490760,43.79609,-91.21769,HARDEES,54601,WI
1610 Sycamore View Rd,Memphis,US,us/tn/memphis/1610sycamoreviewrd/-1161002137,35.1694,-89.86479,MCDONALDS,38134,TN
2437 George St,La Crosse,US,us/wi/lacrosse/2437georgest/-1161002137,43.85742,-91.23993,MCDONALDS,54603,WI
813 N Central Ave,Marshfield,US,us/wi/marshfield/813ncentralave/-1009719089,44.674233,-90.168369,TACO JOHNS,54449,WI
1101 N Central Ave,Marshfield,US,us/wi/marshfield/1101ncentralave/-1161002137,44.67742,-90.16521,MCDONALDS,54449,WI
1601 W Lincoln Ave,Yakima,US,us/wa/yakima/1601wlincolnave/-1161002137,46.6039,-120.53093,MCDONALDS,98902,WA
5706 W 7800 S,West Jordan,US,us/ut/westjordan/5706w7800s/-1161002137,40.60985,-112.0266,MCDONALDS,84081,UT
1014 Highway 82 E,Indianola,US,us/ms/indianola/1014highway82e/-864103396,33.45785,-90.63563,TACO BELL,38751,MS
640 Huebner Rd,Fort Riley,US,us/ks/fortriley/640huebnerrd/-1055723171,39.0644,-96.79881,DOMINOS PIZZA,66442,KS
1418 W Sunset Blvd,Saint George,US,us/ut/saintgeorge/1418wsunsetblvd/-864103396,37.122977,-113.613499,TACO BELL,84770,UT
610 E Saint George Blvd,Saint George,US,us/ut/saintgeorge/610esaintgeorgeblvd/-864103396,37.109869,-113.570286,TACO BELL,84770,UT
4651 W 6th St,Lawrence,US,us/ks/lawrence/4651w6thst/-66712705,38.971514,-95.301449,PIZZA HUT,66049,KS
7501 W 135th St,Overland Park,US,us/ks/overlandpark/7501w135thst/1876747914,38.88353,-94.672,RAISING CANES CHICKEN FINGERS,66223,KS
4204 Milan Rd,Sandusky,US,us/oh/sandusky/4204milanrd/-1161002137,41.41841,-82.67352,MCDONALDS,44870,OH
6300 Gulf Fwy,La Marque,US,us/tx/lamarque/6300gulffwy/1832448210,29.3676,-94.97416,WHATABURGER,77568,TX
3013 Peach Orchard Rd,Augusta,US,us/ga/augusta/3013peachorchardrd/-791445730,33.415257,-82.024531,WENDYS,30906,GA
1708 Main St,Longmont,US,us/co/longmont/1708mainst/-448666054,40.18919,-105.10172,FIVE GUYS,80501,CO
67740 Highway 111,Cathedral City,US,us/ca/cathedralcity/67740highway111/-981164808,33.78864,-116.48215,EL POLLO LOCO,92234,CA
3515 Springdale Rd,Cincinnati,US,us/oh/cincinnati/3515springdalerd/-1055723171,39.25009,-84.59411,DOMINOS PIZZA,45251,OH
7720 Laurel Ave,Cincinnati,US,us/oh/cincinnati/7720laurelave/-1055723171,39.18985,-84.36207,DOMINOS PIZZA,45243,OH
123 Creekside Xing,New Braunfels,US,us/tx/newbraunfels/123creeksidexing/1832448210,29.7279,-98.07612,WHATABURGER,78130,TX
793 Roosevelt Trl,Windham,US,us/me/windham/793roosevelttrl/-2061630068,43.83887,-70.44217,BURGER KING,4062,ME
14700 E Indiana Ave,Spokane,US,us/wa/spokane/14700eindianaave/-863563290,47.673976,-117.206394,TACO TIME,99216,WA
201 Commerce Dr,Jefferson City,US,us/mo/jeffersoncity/201commercedr/1780593795,38.59259,-92.2254,SONIC DRIVE-IN,65109,MO
3124 S Ten Mile Dr,Jefferson City,US,us/mo/jeffersoncity/3124stenmiledr/-1161002137,38.58068,-92.2352,MCDONALDS,65109,MO
2984 Upland Pkwy,Sidney,US,us/ne/sidney/2984uplandpkwy/-1161002137,41.138,-102.98557,MCDONALDS,69162,NE
544 Conestoga Pkwy,Shepherdsville,US,us/ky/shepherdsville/544conestogapkwy/-1055723171,37.9978,-85.70737,DOMINOS PIZZA,40165,KY
101 Smith Rd,Glasgow,US,us/ky/glasgow/101smithrd/-1161002137,37.0082,-85.92208,MCDONALDS,42141,KY
5212 Jackson St,Alexandria,US,us/la/alexandria/5212jacksonst/1780593795,31.27267,-92.48395,SONIC DRIVE-IN,71303,LA
131 S Highway 27,Somerset,US,us/ky/somerset/131shighway27/-1161002137,37.09224,-84.61883,MCDONALDS,42501,KY
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,US,us/nm/albuquerque/1511cgoffblvdswplazarioshpgctr/-1055723171,35.085335,-106.60555,DOMINOS PIZZA,87105,NM
4800 Frederica St,Owensboro,US,us/ky/owensboro/4800fredericast/-1161002137,37.723743,-87.123894,MCDONALDS,42301,KY
300 W Esplanade Ave,Kenner,US,us/la/kenner/300wesplanadeave/-2061630068,30.02306,-90.26933,BURGER KING,70065,LA
5963 W Main St,Houma,US,us/la/houma/5963wmainst/1780593795,29.63346,-90.75858,SONIC DRIVE-IN,70360,LA
7095 Engle Rd,Cleveland,US,us/oh/cleveland/7095englerd/93075755,41.373432,-81.8241,ARBYS,44130,OH
7849 Tramway Blvd NE Ste D,Albuquerque,US,us/nm/albuquerque/7849tramwayblvdnested/-1055723171,35.17351,-106.49703,DOMINOS PIZZA,87122,NM
1228 Saint Charles St,Houma,US,us/la/houma/1228saintcharlesst/-864103396,29.58875,-90.74346,TACO BELL,70360,LA
725 Sterlington Hwy,Farmerville,US,us/la/farmerville/725sterlingtonhwy/-864103396,32.7715,-92.39699,TACO BELL,71241,LA
1088 Westbank Expy,Westwego,US,us/la/westwego/1088westbankexpy/-66712705,29.89708,-90.14081,PIZZA HUT,70094,LA
1000 Government St,Baton Rouge,US,us/la/batonrouge/1000governmentst/1780593795,30.44345,-91.17915,SONIC DRIVE-IN,70802,LA
120 S Davis Ave,Cleveland,US,us/ms/cleveland/120sdavisave/-1161002137,33.74364,-90.71593,MCDONALDS,38732,MS
1231 Holcomb Blvd,Camp Lejeune,US,us/nc/camplejeune/1231holcombblvd/-791445730,34.72418,-77.34444,WENDYS,28547,NC
112 E 2nd St,Duluth,US,us/mn/duluth/112e2ndst/-1055723171,46.78937,-92.09841,DOMINOS PIZZA,55805,MN
976 William H Wilson Ave Ste 100,Fort Stewart,US,us/ga/fortstewart/976williamhwilsonaveste100/-2061630068,31.8613,-81.61078,BURGER KING,31314,GA
2910 Lurleen B Wallace Blvd,Northport,US,us/al/northport/2910lurleenbwallaceblvd/1780593795,33.236442,-87.576869,SONIC DRIVE-IN,35476,AL
2441 James St,Coralville,US,us/ia/coralville/2441jamesst/-1055723171,41.68432,-91.60353,DOMINOS PIZZA,52241,IA
602 Highway 31 SW,Hartselle,US,us/al/hartselle/602highway31sw/-864103396,34.439438,-86.940455,TACO BELL,35640,AL
107 Jordan Plz,Elizabeth City,US,us/nc/elizabethcity/107jordanplz/-1055723171,36.29457,-76.23925,DOMINOS PIZZA,27909,NC
905 W Corbett Ave,Swansboro,US,us/nc/swansboro/905wcorbettave/-1161002137,34.69765,-77.14086,MCDONALDS,28584,NC
2001 Sutton Ln,Sutton,US,us/wv/sutton/2001suttonln/93075755,38.70084,-80.664158,ARBYS,26601,WV
3716 7th St,Bay City,US,us/tx/baycity/37167thst/-864103396,28.9826,-95.94636,TACO BELL,77414,TX
443 Killian Rd,Columbia,US,us/sc/columbia/443killianrd/-1191797674,34.13885,-80.95378,PANDA EXPRESS,29203,SC
122 Hayward Ave,Ames,US,us/ia/ames/122haywardave/-1055723171,42.02193,-93.65164,DOMINOS PIZZA,50014,IA
1306 Scotland Crossing Dr,Laurinburg,US,us/nc/laurinburg/1306scotlandcrossingdr/-864103396,34.760626,-79.487148,TACO BELL,28352,NC
1700 Norman Dr Spc 1056,Valdosta,US,us/ga/valdosta/1700normandrspc1056/-345832572,30.84377,-83.32041,CHICK-FIL-A,31601,GA
502 W Columbia Ave,Batesburg,US,us/sc/batesburg/502wcolumbiaave/696490760,33.903931,-81.545787,HARDEES,29006,SC
4965 Centre Pointe Dr,North Charleston,US,us/sc/northcharleston/4965centrepointedr/-1055723171,32.87129,-80.02056,DOMINOS PIZZA,29418,SC
2441 Northgate St,Ottumwa,US,us/ia/ottumwa/2441northgatest/-1161002137,41.04905,-92.41165,MCDONALDS,52501,IA
903 E Milam St,Mexia,US,us/tx/mexia/903emilamst/-1161002137,31.68468,-96.47389,MCDONALDS,76667,TX
5131 Government St,Baton Rouge,US,us/la/batonrouge/5131governmentst/-1560457549,30.44529,-91.13715,CAPTAIN DS SEAFOOD,70806,LA
4021 Interstate Highway 69 Access Rd,Corpus Christi,US,us/tx/corpuschristi/4021interstatehighway69accessrd/1832448210,27.85699,-97.63067,WHATABURGER,78410,TX
839 E Mulberry St,Angleton,US,us/tx/angleton/839emulberryst/-230519289,29.165887,-95.422475,JACK IN THE BOX,77515,TX
3900 University Pkwy,Natchitoches,US,us/la/natchitoches/3900universitypkwy/1780593795,31.75324,-93.10647,SONIC DRIVE-IN,71457,LA
1855 Main Ave N,Tillamook,US,us/or/tillamook/1855mainaven/-1161002137,45.486681,-123.845556,MCDONALDS,97141,OR
400 Downs Blvd Ste 100,Franklin,US,us/tn/franklin/400downsblvdste100/-1055723171,35.90875,-86.88409,DOMINOS PIZZA,37064,TN
808 E Liberty St,Mexico,US,us/mo/mexico/808elibertyst/1780593795,39.16989,-91.87478,SONIC DRIVE-IN,65265,MO
701 E Main St,Park Hills,US,us/mo/parkhills/701emainst/1780593795,37.84401,-90.50351,SONIC DRIVE-IN,63601,MO
324 W Bypass,Andalusia,US,us/al/andalusia/324wbypass/93075755,31.30789,-86.4999,ARBYS,36420,AL
525 W Crawford St,Clay Center,US,us/ks/claycenter/525wcrawfordst/1780593795,39.37906,-97.14248,SONIC DRIVE-IN,67432,KS
5802 S Broadway Ave,Tyler,US,us/tx/tyler/5802sbroadwayave/-1161002137,32.28572,-95.30372,MCDONALDS,75703,TX
3112 N Navarro St,Victoria,US,us/tx/victoria/3112nnavarrost/-1161002137,28.82378,-97.000727,MCDONALDS,77901,TX
2 N Mineral St,Keyser,US,us/wv/keyser/2nmineralst/-891525969,39.44023,-78.97744,SUBWAY,26726,WV
1845 Fry Rd,Katy,US,us/tx/katy/1845fryrd/-1161002137,29.79332,-95.71956,MCDONALDS,77449,TX
100 W Loop 340,Woodway,US,us/tx/woodway/100wloop340/1832448210,31.51211,-97.18724,WHATABURGER,76712,TX
104 E Grant St,Roma,US,us/tx/roma/104egrantst/-1161002137,26.40269,-99.01235,MCDONALDS,78584,TX
441 Craig St,Buffalo,US,us/tx/buffalo/441craigst/-1161002137,31.45096,-96.07826,MCDONALDS,75831,TX
2111 Ave F NW US 287,Childress,US,us/tx/childress/2111avefnwus287/-1161002137,34.43504,-100.22784,MCDONALDS,79201,TX
1005 S 14th St,Kingsville,US,us/tx/kingsville/1005s14thst/-864103396,27.50749,-97.85649,TACO BELL,78363,TX
4622 S Fort Hood St,Killeen,US,us/tx/killeen/4622sforthoodst/-1161002137,31.07809,-97.75698,MCDONALDS,76542,TX
404 N Wood St,Gilmer,US,us/tx/gilmer/404nwoodst/-864103396,32.73227,-94.94278,TACO BELL,75644,TX
7104 S Fry Rd,Katy,US,us/tx/katy/7104sfryrd/-1161002137,29.71927,-95.78177,MCDONALDS,77494,TX
1265 S Wheeler St,Jasper,US,us/tx/jasper/1265swheelerst/-1161002137,30.91192,-93.99569,MCDONALDS,75951,TX
307 E Wise St,Bowie,US,us/tx/bowie/307ewisest/-1161002137,33.557809,-97.846268,MCDONALDS,76230,TX
705 N McCoy Blvd,New Boston,US,us/tx/newboston/705nmccoyblvd/-864103396,33.4717,-94.4091,TACO BELL,75570,TX
821 S Sam Houston Blvd,San Benito,US,us/tx/sanbenito/821ssamhoustonblvd/-1161002137,26.12559,-97.63723,MCDONALDS,78586,TX
2652 S Nc 127 Hwy,Hickory,US,us/nc/hickory/2652snc127hwy/-1055723171,35.69172,-81.35675,DOMINOS PIZZA,28602,NC
1696 N Center St,Lonoke,US,us/ar/lonoke/1696ncenterst/1780593795,34.79816,-91.89096,SONIC DRIVE-IN,72086,AR
651 Terry Pkwy Ste 101,Gretna,US,us/la/gretna/651terrypkwyste101/-1055723171,29.90228,-90.03,DOMINOS PIZZA,70056,LA
1449 Papillion Dr,Papillion,US,us/ne/papillion/1449papilliondr/-1055723171,41.141563,-96.01308,DOMINOS PIZZA,68133,NE
323 N 114th St,Omaha,US,us/ne/omaha/323n114thst/-1055723171,41.2606,-96.09081,DOMINOS PIZZA,68154,NE
102 Pavilion Pkwy,Newport,US,us/ky/newport/102pavilionpkwy/-1055723171,39.09245,-84.4806,DOMINOS PIZZA,41071,KY
